[19/05/17 010:55:29] 005@127.0.0.1      :47996 connected
[19/05/17 010:55:30] 005@127.0.0.1      :47996 disconnected
[19/05/17 010:55:31] 006@127.0.0.1      :48000 connected
[19/05/17 010:55:31] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:32] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:32] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:32] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:32] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:32] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:33] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:33] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:33] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:33] 000@0.0.0.0        :01234 ERRO	Unknown command                       
[19/05/17 010:55:34] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:34] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:34] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:34] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:35] 006@127.0.0.1      :48000 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
[19/05/17 010:55:36] 006@127.0.0.1      :48000 ABRT
[19/05/17 010:55:37] 006@127.0.0.1      :48000 disconnected
[19/05/17 010:55:50] 005@127.0.0.1      :48026 connected
[19/05/17 010:55:51] 005@127.0.0.1      :48026 WORK 1d29ffff 0000000019d6689c085ae165831e934ff763ae46a218a6c172b3f1b60a8ce26f 1000000023212399 04
